name,phi,psi,theta,energy
biphenyl-twist,nan,nan,0,-12603.271085638165
biphenyl-twist,nan,nan,15,-12603.31482630695
biphenyl-twist,nan,nan,30,-12603.393735786114
biphenyl-twist,nan,nan,45,-12603.417057031558
biphenyl-twist,nan,nan,60,-12603.385197669828
biphenyl-twist,nan,nan,75,-12603.342248036006
biphenyl-twist,nan,nan,90,-12603.323815043774
biphenyl-twist,nan,nan,105,-12603.343731328605
biphenyl-twist,nan,nan,120,-12603.389097605534
biphenyl-twist,nan,nan,135,-12603.424952959158
biphenyl-twist,nan,nan,150,-12603.40713222309
biphenyl-twist,nan,nan,165,-12603.32866275202
biphenyl-twist,nan,nan,180,-12603.271086454508
biphenyl-twist,nan,nan,-165,-12603.314826851178
biphenyl-twist,nan,nan,-150,-12603.39373469766
biphenyl-twist,nan,nan,-135,-12603.417057575785
biphenyl-twist,nan,nan,-120,-12603.38519141121
biphenyl-twist,nan,nan,-105,-12603.34224123316
biphenyl-twist,nan,nan,-90,-12603.323809873611
biphenyl-twist,nan,nan,-75,-12603.343729423808
biphenyl-twist,nan,nan,-60,-12603.38910223147
biphenyl-twist,nan,nan,-45,-12603.424953231272
biphenyl-twist,nan,nan,-30,-12603.407128413495
biphenyl-twist,nan,nan,-15,-12603.328660847223
biphenyl-twist,nan,nan,-180,-12603.271087270849
